Question,label
"Question: At the arcade Billy had won forty-eight tickets. After buying a yoyo he had thirty-two tickets left. How many tickets did the yoyo cost?
Solution: 16 (tickets)
Steps: 48-32=16",3
"Question: Cody made 12 dollars mowing lawns over the summer. If he charged 4 bucks for each lawn, how many lawns did he mow?
Solution: 3 (lawns)
Steps: 12/4=3",4
"Question: I see 349 frogs. How many legs do they have?
Solution: 1396 (legs)
Steps: 349*4=1396",9
"Question: Mrs. Hilt bought 3 pizzas for $8 each. What was the total amount she paid for the three pizzas?
Solution: 24 (dollars)
Steps: 3*8=24",4
"Question: On Martin's first stroke, his golf ball traveled 4/5 of the distance to the hole. On his second stroke, the ball went into the hole. Martin was standing 79 meters from the hole as he took his second stroke. How many kilometers from the hole was Martin when he started?
Solution: 0.395 (kilometers)
Steps: 79 (m)*5 = 395 (m); 395/1000 (m/km) = 0.395 (km)",7
"Question: A certain number added twice to itself equals 96. What is the number?
Solution: 32
Steps: x:The certain number; x+2x=96",13
"Question: Amanda has two pieces of ribbon, one 8 inches long and the other 16 inches long. To decorate an album, she wants to cut them up to produce many pieces of ribbon that are all of the same length, with no ribbon left over. What is the greatest length, in inches, that she can make them?
Solution: 8 (inches)
Steps: GCD(8,16)=8",14
"Question: Ned was buying books about astronomy. He bought 8 books about the planets and 4 about the space program. How many books did he buy total?
Solution: 12 (books)
Steps: 8+4=12",0
"Question: At a restaurant each adult meal costs $8 and kids eat free. If a group of 11 people came in and 2 were kids, how much would it cost for the group to eat?
Solution: 72 (dollars)
Steps: (11-2)*8=72",5
"Question: A vase can hold nine flowers. If you had four carnations and twenty-three roses, how many vases would you need to hold the flowers?
Solution: 3 (vases)
Steps: (4+23)/9=3",6
"Question: To get to school, Jenny decided to ride the school's double decker bus. The bus has a total of 20 rows of seats and each row has a capacity of 4 kids. How many kids in total can ride the school bus?
Solution: 80 (kids)
Steps: 20*4=80",4
"Question: For homework, a student had to complete 15 problems total. If she finished 6 problems in class, what is the ratio of problems she still needs to complete to problems that she's already finished?
Solution: 3:02:00
Steps: 15-6=9; 9:6=3:2",0
"Question: For homework, a student had to complete 15 problems total. If she finished 6 problems in class, what is the ratio of problems she still needs to complete to problems that she's already finished?
Solution: 3:02:00
Steps: 15-6=9; 9:6=3:2",15
"Question: There are 43 empty seats and 7 occupied seats on an airplane. What is the ratio of the number of occupied seats to the total number of seats?
Solution: 0.326388889
Steps: 7+43=50; 7:50",3
"Question: There are 43 empty seats and 7 occupied seats on an airplane. What is the ratio of the number of occupied seats to the total number of seats?
Solution: 0.326388889
Steps: 7+43=50; 7:50",15
"Question: Packages of cheddar cheese come with 12 slices, while packages of Swiss cheese come with 28 slices. If Randy bought the same number of slices of each type of cheese, what is the smallest number of slices of each type that Randy could have bought?
Solution: 84 (slices)
Steps: LCM[12,28]=84",14
"Question: The friends then proceeded to the rest of the houses in their village. However, Sam had to go home earlier. She got her share of candies which are composed of 10 chewing gums, 15 chocolate bars, and 20 assorted fruit candies. How many candies did she get in total?
Solution: 45 (candies)
Steps: 10+15+20=45",3
"Question: There was 1,050 ml of tea in a pot. Anna poured the tea into some cups. If there were 65 ml of tea in each cup, how much tea was left in the pot?
Solution: 10 (ml)
Steps: 1050/65=16 r10",12
"Question: There are three bosses in a computer game. Boss A appears every 1 hour. Boss B appears every 30 minutes. Boss C appears every 40 minutes. If the three bosses appear together at 10:10, at what time will the three bosses appear together again in the game?
Solution: 0.506944444
Steps: (10*60 (min/hour) + 10) + LCM[60,30,40] + 0 = 730 (min); 730/60 (min/hour)=12 r10; hh:mm=12:10",7
"Question: There are three bosses in a computer game. Boss A appears every 1 hour. Boss B appears every 30 minutes. Boss C appears every 40 minutes. If the three bosses appear together at 10:10, at what time will the three bosses appear together again in the game?
Solution: 0.506944444
Steps: (10*60 (min/hour) + 10) + LCM[60,30,40] + 0 = 730 (min); 730/60 (min/hour)=12 r10; hh:mm=12:10",12
"Question: One number is half the other. Sum of two numbers is equal to 6. Find the numbers.
Solution: 4; 2
Steps: x:One of the numbers; x+(x/2)=6",13
"Question: Sam cut equal-length pieces of ribbon from a 3,730-cm long ribbon. If each piece was 73 cm long, how many 73 cm pieces of ribbon did Sam make?
Solution: 51 (pieces of ribbon)
Steps: 3730/73=51 r7",12
"Question: Mike is serving vegetables at a soup kitchen. He has 15 carrot sticks and 10 baby potatoes that he wants to divide evenly, with no food left over. What is the greatest number of plates Mike can prepare?
Solution: 5 (plates)
Steps: GCD(15,10)=5",14
"Question: After paying 6 dollars for the pie, Sandy has 57 dollars left. How much money did she have before buying the pie ?
Solution: 63 (dollars)
Steps: 6+57=63",3
"Question: Paige had 43 math problems and 12 science problems for homework. If she finished 44 of the problems at school, how many problems did she have to do for homework?
Solution: 11 (problems)
Steps: (43+12)-44=11",3
"Question: Sweettarts come in packages of 7. Stephen ate 64 Sweettarts. How many Sweettarts does he have left?
Solution: 1 (Sweettart)
Steps: 64/7=9 r1",10
"Question: After 15 years, Ariel will be four times as old as she is now. Determine her present age.
Solution: 5 (years old)
Steps: x:Ariel's present age; 4x=x+15",13
"Question: Jerry's freezer had 30 ice cubes in it. If he had to get ice for 6 cups, how many pieces should he put in each cup to make them have the same amount?
Solution: 5 (pieces)
Steps: 30/6=5",4
"Question: There are 3 more sections that are undeveloped. Each of the remaining sections has a land area of 2435 square feet. What is the total area of the undeveloped land?
Solution: 7305 (square feet)
Steps: 3*2435=7305",9
"Question: 15 students split 122 portfolios of paintings. Each student should get the same number of portfolios. How many portfolios of paintings will each of them get?
Solution: 8 (portfolios)
Steps: 122/15=8 r2",12
"Question: Lindsey has 16 cans of regular soda and 8 cans of diet soda. She wants to create some identical refreshment tables that will operate during the football game. She also doesn't want to have any sodas left over. What is the greatest number of refreshment tables that Lindsey can stock?
Solution: 8 (refreshment tables)
Steps: GCD(16,8)=8",14
"Question: In fourth grade there were 35 students at the start of the year. During the year 10 students left and 10 new students came to school. How many students were in fourth grade at the end?
Solution: 35 (students)
Steps: 35-10+10=35",3
"Question: A pet store sold 2 kittens and 1 puppy over the weekend. The kittens sold for $6 each and the puppy sold for $5. How much money did they earn from selling the pets?
Solution: 17 (dollars)
Steps: (2*6)+(1*5)=17",4
"Question: Bianca wanted to drink exactly 5 bottles of water each day, so she bought 47 bottles when they were on sale. How many more bottles will she need to buy on the last day?
Solution: 3 (bottles)
Steps: 47/5=9 r2; 5-2=3",10
"Question: Bianca wanted to drink exactly 5 bottles of water each day, so she bought 47 bottles when they were on sale. How many more bottles will she need to buy on the last day?
Solution: 3 (bottles)
Steps: 47/5=9 r2; 5-2=3",18
"Question: An architect was building a hotel downtown. He built it 3 stories tall with 8 rooms on each story. How many rooms does the hotel have totaled?
Solution: 24 (rooms)
Steps: 3*8=24",4
"Question: A rectangular roof shingle is 10 inches long and 7 inches wide. What is its area?
Solution: 70 (square inches)
Steps: 10*7=70",8
"Question: An ice machine had 294 ice cubes in it. If you were filling up 7 ice chests and each chest got the same number of cubes, how many ice cubes would each chest get?
Solution: 42 (ice cubes)
Steps: 294/7=42",10
"Question: A furniture store had fifteen chairs. After selling some, there was three left. How many chairs did they sell?
Solution: 12 (chairs)
Steps: 15-3=12",0
"Question: After agreeing that the school menu needs to be changed, they had a vote for food suggestions. If 337 voted to add more veggies to the menu and 335 voted to add more meat, how many students voted?
Solution: 672 (students)
Steps: 337+335=672",2
"Question: The cafeteria had fifty-one apples. For lunch they handed out forty-one to students and decided to use the rest to make pies. If each pie takes five apples, how many pies could they make?
Solution: 2 (pies)
Steps: (51-41)/5=2",5
"Question: Five years ago, Nancy was thrice as old as Sam. Ten years later, Nancy will be twice as old as Sam. How old are Nancy and Sam?
Solution: 50 (years old); 20 (years old)
Steps: x:Sam's present age; y:Nancy's present age; y-5=3(x-5); y+10=2(x+10)",12
"Question: After counting all her money, she went to her mom and had all her savings exchanged into whole $100 bills. After the exchange, she has 8 pieces of $100 bills. How much was total amount of Michelle's savings?
Solution: 800 (dollars)
Steps: 8*100=800",9
"Question: Rebecca wants to split a collection of eggs into groups of 2. Rebecca has 16 eggs and 3 marbles. How many groups will be created?
Solution: 16/2=8
Steps: 16/2=8",4
"Question: For the school bake sale Amy made pastries. She baked 15 cupcakes and 48 cookies. After the sale she had 12 to take back home. How many pastries did she sell?
Solution: 51 (pastries)
Steps: 15+48-12=51",3
"Question: Tina had a large collection of beanie babies. She gave 8 beanie babies to her cousin. She gave half that amount to her sister. She gave 36 beanie babies to needy children. She kept 12 for herself. How many beanie babies were in Tina's collection at first?
Solution: 60 (beanie babies)
Steps: 8/2=4; 8+4+36+12=60",4
"Question: Tina had a large collection of beanie babies. She gave 8 beanie babies to her cousin. She gave half that amount to her sister. She gave 36 beanie babies to needy children. She kept 12 for herself. How many beanie babies were in Tina's collection at first?
Solution: 60 (beanie babies)
Steps: 8/2=4; 8+4+36+12=60",1
"Question: The map led them through the forest and into a cave. To open the cave doors, they need to put weights on the switch. If the switch already has 234 lbs. of weights and the total needed is 712 lbs., how much more weight to they need to add?
Solution: 478 (lbs)
Steps: 712-234=478",7
"Question: It takes 7 minutes to bake one pan of cookies. How long will it take to bake 4 pans of cookies?
Solution: 28 (minutes)
Steps: 7*4=28",4
"Question: There are 72 boys and 90 girls on the math team. For the next math competition, Mr. Johnson would like to arrange all of the students in equal rows with only girls or only boys in each row. What is the greatest number of students that can be in each row?
Solution: 18 (students)
Steps: GCD(72,90)=18",14
"Question: The present age of Jacob's father is three times that of Jacob. After 5 years, sum of their ages would be 70 years. Find their present ages.
Solution: 45 (years old); 15 (years old)
Steps: F:Present age of Jacob's father; J:Jacob's present age; F=J*3; (F+5)+(J+5)=70",17
"Question: Andrew is having his friends over for game night. So he decided to prepare the snacks and the games. He started by making mini sandwiches. If he has 4 friends coming over and he made 3 sandwiches for each one of them, how many sandwiches did he make in total?
Solution: 12 (sandwiches)
Steps: 4*3=12",4
"Question: Oceanside Bike Rental Shop charges a 17 dollar fixed fee plus 7 dollars an hour for renting a bike. Mary paid 80 dollars to rent a bike. How many hours did she pay to have the bike checked out ?
Solution: 9 (hours)
Steps: x:Dollars for renting an hour; 17+7x=80",13
"Question: Jason had 27 peaches and 17 pears left at his roadside fruit stand. He went to the orchard and picked more peaches to stock up the stand. There are now 90 peaches at the stand, how many did he pick ?
Solution: 63 (peaches)
Steps: 90-27=63",3
"Question: Mona is having a party at her house to celebrate her birthday. She invited some friends and family. Mona prepared rainbow colored cupcakes for dessert. If she made 7 sets for each of the 7 colors of the rainbow and each set has 6 cupcakes, how many cupcakes did Mona prepare in total?
Solution: 42 (cupcakes)
Steps: 7*6=42",4
"Question: A sofa and a love seat together costs $444. The sofa costs double the love seat. How much do they each cost?
Solution: 148 (dollars); 296 (dollars)
Steps: x:The cost of the sofa; y:The cost of the love seat; x+y=444; x=2y",13
"Question: Kevin can mow a square lawn that is 30 meters of each side in 45 minutes. If he works at the same rate, how many minutes will it take Kevin to mow a square lawn that measures 60 meters on each side?
Solution: 180 (minutes)
Steps: 4*45=180",7
"Question: Kevin can mow a square lawn that is 30 meters of each side in 45 minutes. If he works at the same rate, how many minutes will it take Kevin to mow a square lawn that measures 60 meters on each side?
Solution: 180 (minutes)
Steps: 4*45=180",16
"Question: Zoe is on vacation. She has already taken 28 pictures. She has enough film left to take 32 more pictures. Zoe took 16 more pictures at the dolphin show. How many pictures has Zoe taken altogether?
Solution: 44 (pictures)
Steps: 28+16=44",3
"Question: Kaleb has seventeen shirts. If he got rid of seven of them, how many shirts would Kaleb have?
Solution: 10 (shirts)
Steps: 17-7=10",0
"Question: Megan had seventeen bottles of water. If she drank three of them, how many bottles would Megan have left?
Solution: 14 (bottles)
Steps: 17-3=14",0
"Question: There are 5 boys and 4 girls in a classroom. After 3 boys left the classroom, another 2 girls came in the classroom. How many children were there in the classroom in the end?
Solution: 8 (children)
Steps: 5+4-3+2=8",18
"Question: Charlie, an aspiring inventor, is planning to make some wings to fulfill his dream to fly around the world. He started by collecting feathers. He needs 900 feathers and he already has 387. How many more feathers does he need to collect?
Solution: 513 (feathers)
Steps: 900-387=513",2
"Question: A chef needs to cook 12 potatoes. He has already cooked 6. If each potato takes 6 minutes to cook, how long will it take him to cook the rest?
Solution: 36 (minutes)
Steps: (12-6)*6=36",5
"Question: A small school has 55 students. If 10 of the students are boys, what is the ratio of girls to boys?
Solution: 9:02:00
Steps: 55-10=45; 45:10=9:2",15
"Question: If Tom plans to fix 158 watches at the rate of 12 watches per day, how many days does he need to fix the watches?
Solution: 14 (days)
Steps: 158/12=13 r2",12
"Question: There are 396 students going to a trivia competition. If each school van can hold 9 students, how many vans will they need?
Solution: 44 (vans)
Steps: 396/9=44",10
"Question: April's discount flowers was having a sale where each rose was 4 dollars. If April started with 13 roses and had 4 roses left, how much money did she earn?
Solution: 36 (dollars)
Steps: (13-4)*4=36",5
"Question: For a dinner party, Abraham is creating individual servings of starters. He has 9 carrot sticks and 18 celery sticks. If he wants each serving to be identical, with no food left over, what is the greatest number of servings Abraham can create?
Solution: 9 (servings)
Steps: GCD(9,18)=9",14
"Question: Mr. Bradley gave his class a math problem to solve. He said, ""Begin with the number 28. Add 12 to it. Then add 7 more."" Ned followed the instructions perfectly but Billy subtracted 7. What is the difference between the boys' answers?
Solution: 14
Steps: (28+12+7)-(28+12-7)=14",1
"Question: A rectangle has an area of 360 square centimeters. It is 20 centimeters long. What is its perimeter?
Solution: 76 (centimeters)
Steps: (360/20)*2+20*2=76",12
"Question: Math Magazine charges $8 per square inch for advertising. Jason decides to order a half page ad. Each page of the magazine measures 9 inches by 12 inches. How much will Jason have to pay?
Solution: 432 (dollars)
Steps: ((12 (inch)*9 (inch))/2) * 8 (dollar/square inch) = 432 (dollar)",8
"Question: Math Magazine charges $8 per square inch for advertising. Jason decides to order a half page ad. Each page of the magazine measures 9 inches by 12 inches. How much will Jason have to pay?
Solution: 432 (dollars)
Steps: ((12 (inch)*9 (inch))/2) * 8 (dollar/square inch) = 432 (dollar)",11
"Question: At a farming supply store 2 pounds of seed cost $44.68. If a farmer needed 6 pounds of seeds, how much would it cost him?
Solution: 134.04 (dollars)
Steps: (44.68/2)*6=134.04",7
"Question: The distance travelled by Ben and Tim is in the ratio 3:4. The distance travelled by Ben is 18 miles. Find the distance travelled by Tim.
Solution: 24 (miles)
Steps: 3:4=18:24",16
"Question: Thanksgiving came and their family hosted their building's Thanksgiving dinner. They prepared a lot of food so she asked her parents if they could donate some to the soup kitchen next bock. If they prepared 36 turkeys and gave 18 of it to the soup kitchen, how many were left for them to eat?
Solution: 18 (turkeys)
Steps: 36-18=18",3
"Question: Mom made 32 chocolate chip cookies. It took 24 minutes to mix the ingredients and 16 minutes to bake. Julie and Matt ate 9 cookies after dinner. How many cookies were left?
Solution: 23 (cookies)
Steps: 32-9=23",3
"Question: At the zoo a cage had sixty-eight snakes. If forty-two were hiding, how many snakes were not hiding?
Solution: 26 (snakes)
Steps: 68-42=26",3
"Question: It takes 4 ounces of cheese to make a burrito and 9 ounces for a taco. If you wanted 7 burritos and 1 taco, how many ounces of cheese would you need?
Solution: 37 (ounces of cheese)
Steps: (7*4)+(1*9)=37",11
"Question: While performing a piece of music, Jacob strikes the cymbals every 7 beats and the triangle is every 2 beats. If he just struck both at the same time, how many beats will pass before he again strikes them at the same time?
Solution: 14 (beats)
Steps: LCM[7,2]=14",14
"Question: Marin has nine apples and Donald has two apples. How many apples do Marin and Donald have together?
Solution: 11 (apples)
Steps: 9+2=11",0
"Question: Lukas averages 12 points per game in basketball. How many points would he score in 5 games?
Solution: 60 (points)
Steps: 12*5=60",4
"Question: Bruno had some story books. He lost 4 of them and his dad gave him 10 more books. If he had 39 books after that, how many books did Bruno have at first?
Solution: 33 (books)
Steps: 39-10+4=33",3
"Question: Adam had 5 dollars. At the store he spent $2 on a new game. If he got another 5 dollars for his allowance, how much money does he have now?
Solution: 8 (dollars)
Steps: 5-2+5=8",18
"Question: A company donates 935 pencils to a school. The pencils are divided evenly among 9 classrooms. The rest of the pencils are given to the library. How many pencils were donated to the library?
Solution: 8 (pencils)
Steps: 935/9=103 r8",10
"Question: 2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?
Solution: 6 (birds)
Steps: 2+4=6",18
"Question: Seven times a two digit is equal to four times the number obtained by reversing the order of digits and the sum of the digits is 3. Find the number.
Solution: 12
Steps: x:The number of the tens digital; y:The number of the unit digital; 7(10x+y)=4(10y+x); x+y=3",17
"Question: One zoo guide spoke to a group of 19 children. Another guide spoke to a group of 25 children. There are 22 guides at the zoo. How many children did the zoo guides speak to?
Solution: 44 (children)
Steps: 19+25=44",3
"Question: The wolves, though accustomed to cold weather, also wanted to move away from the incoming winter. If there are 43 packs of wolves living in the forest and 31 packs went away, how many wolf packs were left in the forest?
Solution: 12 (wolf packs)
Steps: 43-31=12",3
"Question: Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils. How many pencils does Brian have now?
Solution: 43 (pencils)
Steps: 39-18+22=43",3
"Question: The capacity of a tank is 32 gallons. If a company bought 728 gallons of oil, how many tanks are needed to hold all the oil?
Solution: 23 (tanks)
Steps: 728/32=22 r24",12
"Question: At a comic convention Janet wanted to buy 8 comics, but each one costs 4 dollars, plus it costs 2 to even get in. How much money should she take with her so she can get in and buy what she wants?
Solution: 34 (dollars)
Steps: 8*4+2=34",5
"Question: Haley watched TV for six hours on Saturday and three hours on Sunday. How many hours did Haley watch TV total?
Solution: 9 (hours)
Steps: 6+3=9",18
"Question: Virginia had 13 Sweettarts. If Virginia gave equal numbers of Sweettarts to her 4 friends and then she ate what was left, how many Sweettarts did each person eat?
Solution: 3 (Sweettarts)
Steps: 13/4=3 r1",5
"Question: A number added with thrice a number is 20. Convert this statement into algebraic equations and find the number.
Solution: 5
Steps: x:The number; x+3x=20",13
"Question: She also decided to contribute to the collection of the Museum of Natural History. After donating some of her bug collection, she was left with 39 bug species. If she originally has 98 bug species, how many did she donate?
Solution: 59 (bug species)
Steps: 98-39=59",3
"Question: While shopping for music online, Zoe bought three country albums and five pop albums. Each album came with a lyric sheet and had three songs. How many songs did Zoe buy total?
Solution: 24 (songs)
Steps: (3+5)*3=24",5
"Question: A P.E. teacher needs to divide 14 male students and 7 female students into teams, each with the same combination of male students and female students and nobody left out. What is the greatest number of teams that can be formed?
Solution: GCD(14,7)=7
Steps: GCD(14,7)=7",14
"Question: Mr. Lee harvested 495 apples and he packed them evenly in some baskets. If there are 25 apples in each basket, how many baskets of apples are there?
Solution: 19 (baskets)
Steps: 495/25=19 r20",12
"Question: The difference of 5 times a number and 17 is 23. Find the number and 5 times the number.
Solution: 8; 40
Steps: x:The number; 5x-17=23",13
"Question: A box of cupcakes cost $six. If you had eight hundred twenty-one dollars and bought as many boxes as you could, how much money would you have left?
Solution: 5 (dollars)
Steps: 821/6=136 r5",10
"Question: Annie is about to celebrate her birthday next week so her friends decided to throw her a surprise birthday party. Jessica, Annie's best friend, is hosting the party. She plans on making pizza for everyone. If she bought 15 pieces of pepperoni, 10 pieces of salami and 30 pieces of bacon as meat ingredients, how many pieces of meat did she buy in total?
Solution: 55 (pieces)
Steps: 15+10+30=55",3
"Question: A coat factory had 29 coats. If they wanted to put them into 3 boxes, with the same number of coats in each box, how many extra coats would they have left over?
Solution: 2 (coats)
Steps: 29/3=9 r2",10
"Question: Atomic fireballs come in packages of 9. Barbara ate 59 Atomic Fireballs. How many Atomic Fireballs does she have left?
Solution: 5 (Atomic Fireballs)
Steps: 59/9=6 r5",10
"Question: The coach bought 2 extra large pizzas for the team. There were 32 slices of pizza totally. After the team ate some of the slices, there were 7 slices left. How many slices of pizza did the team eat?
Solution: 25 (slices of pizza)
Steps: 32-7=25",3
"Question: Kim has 4 cousins. She wants to give each one 5 pieces of gum. How much gum will she need?
Solution: 20 (pieces of gum)
Steps: 4*5=20",4
"Question: Finally, she planned on going to the Halloween party in the village club house. She wanted to make sure that she will have the perfect costume so she rented 4 different costumes from the Halloween store. If each costume rent costs $2.00, how much did she spend on all the costumes?
Solution: 8 (dollars)
Steps: 4*2=8",4
"Question: Emily owned 6 songs by her favorite artists. Later on she bought 7 more songs. How many songs did she have totaled?
Solution: 13 (songs)
Steps: 6+7=13",0
"Question: Shirley sold 54 boxes of Trefoils. How many cases of 6 boxes does Shirley need to deliver?
Solution: 9 (cases)
Steps: 54/6=9",4
"Question: One-third of a number minus seven gives eight. Find the number.
Solution: 45
Steps: x:The number; (1/3)*x-7=8",13
"Question: Jane's mom picked cherry tomatoes from their backyard. If she gathered 56 cherry tomatoes and is about to place them in small jars which can contain 8 cherry tomatoes at a time, how many jars will she need?
Solution: 7 (jars)
Steps: 56/8=7",4
"Question: A waiter had eighteen customers. If six left, how many customers would the waiter still have?
Solution: 12 (customers)
Steps: 18-6=12",0
"Question: There were six roses in the vase. Jessica cut some more roses from her flower garden. There are now eighteen roses in the vase. How many roses did she cut ?
Solution: 12 (roses)
Steps: 18-6=12",0
"Question: Last month, Ivan spent 20 hours watching TV and 14 hours reading. The same month, Brenna spent 11 hours watching TV and 10 hours reading. Who had a higher ratio of time spent watching TV to time spent reading?
Solution: Ivan
Steps: 20/14=142.8%(Ivan) > 11/10=110%(Brenna)",16
"Question: On Monday, three hundred ninety-six students went on a trip to the zoo. All seven buses were filled and four students had to travel in cars. How many students were in each bus ?
Solution: 56 (students)
Steps: x:The number of students in each bus; 7x+4=396",13
"Question: Adam picked thirty-five strawberries. After eating some, he had thirty-three left. How many strawberries did Adam eat?
Solution: 2 (strawberries)
Steps: 35-33=2",3
"Question: Evan delivers packages in a building. He started on the first floor and went up 7 floors. He went down 3 floors and then up 16 floors. Then he was only 2 floors away from the top of the building. How many floors are in the building altogether?
Solution: 23 (floors)
Steps: 1+7-3+16+2=23",1
"Question: While playing a game Sam had ninety-two points. If he scored another three points, how many points would he have total?
Solution: 95 (points)
Steps: 92+3=95",3
"Question: Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?
Solution: 55 (muffins)
Steps: 18+20+17=55",3
"Question: Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?
Solution: 50 (pink cookies)
Steps: 86-36=50",3
"Question: Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies. How many friends can't go to the movies?
Solution: 7 (friends)
Steps: 15-8=7",0
"Question: It is 2:00. What time will it be in three hours and forty-five minutes?
Solution: 0.239583333
Steps: (2 (hour)*60 (min/hour) + 3 (hour)*60 (min/hour) + 45 (min))/60 (min/hour) =5 r45; hh:mm=5:45",7
"Question: Upon finishing the treehouse, Charlie's mother served them freshly baked cookies. If Charlie ate 15 cookies, his father ate 10 and his mother only ate 5, how many cookies were eaten in total?
Solution: 30 (cookies)
Steps: 15+10+5=30",3
"Question: Ned ordered some pizzas for a party. During the party four were eaten. Now he has seven left. How many pizzas did Ned order for the party?
Solution: 11 (pizzas)
Steps: 4+7=11",0
"Question: Maria had fifty sheets of paper in her desk and forty-one more in her backpack. How many did she have total?
Solution: 91 (sheets of paper)
Steps: 50+41=91",3
"Question: Teacher buys 4 black pens and 4 blue pens for students as awards. How many pens does the teacher buy altogether?
Solution: 8 (pens)
Steps: 4+4=8",18
"Question: Marcus has 210 baseball cards. He has 58 more than Carter. How many baseball cards does Carter have?
Solution: 152 (baseball cards)
Steps: 210-58=152",2
"Question: Some deer families are also moving out to avoid the shortage of grass that will result from occasional blizzards. If there are 79 deer families in the area and around 45 of them stayed, how many deer families moved out?
Solution: 34 (deer families)
Steps: 79-45=34",3
"Question: John bought some cupcakes for a party. During the party eleven were eaten. Now he has twenty-one left. How many cupcakes did John get for the party?
Solution: 32 (cupcakes)
Steps: 11+21=32",3
"Question: I have 648 pencils. If I put 4 pencils in each pencil box, how many pencil boxes will I fill?
Solution: 162 (pencil boxes)
Steps: 648/4=162",10
"Question: Two numbers are in the ratio 1:3. If I add 2 to each of the numbers, the ratio becomes 1:2. Find the original numbers.
Solution: 2; 6
Steps: x:One of the numbers; y:The other number; x:y=1:3; x+2:y+2=1:2",17
"Question: Two numbers are in the ratio 1:3. If I add 2 to each of the numbers, the ratio becomes 1:2. Find the original numbers.
Solution: 2; 6
Steps: x:One of the numbers; y:The other number; x:y=1:3; x+2:y+2=1:2",16
"Question: A square piece of glass has an area of 64 square centimeters. How long is each side?
Solution: 8 (centimeters)
Steps: 64^(1/2)=8",8
"Question: A recipe for cookies calls for 3 cups of sugar. Katie has already put in half a cup. How many more cups does she need to put in?
Solution: 2.5 (cups)
Steps: 3.0-0.5=2.5",7
"Question: Jerry was playing the ring toss at the carnival. All together he used forty-eight rings. If each game you get six rings, how many games did he play?
Solution: 8 (games)
Steps: 48/6=8",4
"Question: 532 people are watching a movie in a theater. The theater has 750 seats. How many seats are empty in the theater?
Solution: 218 (seats)
Steps: 750-532=218",2
"Question: Mrs. Hilt saw an iPod for sale. The price tag said the iPod cost $128, but a sign announced that it was on sale for ""35% off."" How much would the iPod cost after the discount?
Solution: 83.2 (dollars)
Steps: 128-(128*0.35)=83.2",7
"Question: An art museum had 15 pictures to split equally into 2 different exhibits. How many more pictures would they need to make sure each exhibit had the same amount?
Solution: 1 (picture)
Steps: 15/2=7 r1; 2-1=1",10
